constraint_id,site,confirmation_question,required_authority,evidence_reference,confirmed_status,confirmed_by_role,confirmation_date_utc,notes
SUZ-C01,Suzhou,Only if the competent planning authority classifies the relevant planning area as a new urban area; this is not automatically a parcel-level Xutai Road ratio.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C02,Suzhou,Only if the competent planning authority classifies the relevant planning area as an old-city renewal area.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C03,Suzhou,Only if the parcel is legally counted as existing city green space and the proposal would change that area.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C04,Suzhou,Only if the land is legally classified as square land (广场用地).,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C06,Suzhou,Relevant to an urban green-space improvement proposal.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C07,Suzhou,For an urban construction project with supporting greening works.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C08,Suzhou,For the legally responsible urban green-space maintenance party.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C09,Suzhou,If the proposal removes or relocates an urban tree or occupies legally designated city green space.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
SUZ-C10,Suzhou,For buildings and municipal works within the standard's scope.,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C01,London,For a major development treated by the planning authority as predominantly residential where Policy G5 applies.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C02,London,"For a major development treated by the planning authority as predominantly commercial, excluding B2/B8 uses, where Policy G5 applies.","OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C03,London,For development in England unless a statutory exemption applies; check the application-date regime and the statutory metric.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C04,London,For significant on-site gains and off-site gains used to meet mandatory BNG.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C05,London,Where practicable under normal pedestrian-route circumstances.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C06,London,Only where 2.0 m is not feasible because of physical constraints.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C07,London,Where an unavoidable obstacle reduces clear width to 1.0 m.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C08,London,Where a level route is not feasible; steeper routes require separate ramp treatment.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C09,London,Where crossfall is required for drainage.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C10,London,In commonly used pedestrian areas and transport interchanges/stations.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
LON-C11,London,Before treating any analytical proposal as implementable at Mitre Yard.,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C01,Chicago,Where the 2010 ADA Standards govern the facility and accessible walking surface.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C02,Chicago,For an ADA-governed walking surface; steeper surfaces are ramps and must meet Section 405.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C03,Chicago,For an ADA-governed accessible walking surface.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C04,Chicago,Where a circular space is used to satisfy an applicable turning-space requirement.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C05,Chicago,Where an applicable accessible route has clear width below 1.525 m.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C06,Chicago,Only where the route segment is classified as a ramp and ADA applies.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C07,Chicago,Before applying any Chapter 17-11 numeric landscape rule.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C08,Chicago,When Section 17-11-0100 applies and no listed location exemption makes parkway planting unsuitable or unsafe.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C09,Chicago,For required interior landscaping of a qualifying vehicular use area under Section 17-11-0203.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C10,Chicago,For required Chapter 17-11 trees outside the defined Central Area.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C11,Chicago,Calculate the project as a whole and apply the public-right-of-way and residential-development exclusions stated in the definition.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C12,Chicago,Apply the project-as-a-whole calculation and the stated public-right-of-way and residential-development exclusions.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C13,Chicago,As planning context for proposals on the selected 59th Line analytical segment.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
CHI-C14,Chicago,Where the analytical segment interfaces with an identified urban-farm parcel or access point.,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,pending,,,Do not change status without documentary evidence or a recorded qualified review.
