allocation_id,city,city_index,consent_slot,city_seed,mode_order
SUZ-R001,SUZ,1,1,800001,SPATIAL_THEN_TEXT
SUZ-R002,SUZ,1,2,800001,SPATIAL_THEN_TEXT
SUZ-R003,SUZ,1,3,800001,SPATIAL_THEN_TEXT
SUZ-R004,SUZ,1,4,800001,TEXT_THEN_SPATIAL
SUZ-R005,SUZ,1,5,800001,SPATIAL_THEN_TEXT
SUZ-R006,SUZ,1,6,800001,TEXT_THEN_SPATIAL
SUZ-R007,SUZ,1,7,800001,SPATIAL_THEN_TEXT
SUZ-R008,SUZ,1,8,800001,TEXT_THEN_SPATIAL
SUZ-R009,SUZ,1,9,800001,TEXT_THEN_SPATIAL
SUZ-R010,SUZ,1,10,800001,SPATIAL_THEN_TEXT
SUZ-R011,SUZ,1,11,800001,SPATIAL_THEN_TEXT
SUZ-R012,SUZ,1,12,800001,TEXT_THEN_SPATIAL
SUZ-R013,SUZ,1,13,800001,TEXT_THEN_SPATIAL
SUZ-R014,SUZ,1,14,800001,SPATIAL_THEN_TEXT
SUZ-R015,SUZ,1,15,800001,TEXT_THEN_SPATIAL
SUZ-R016,SUZ,1,16,800001,TEXT_THEN_SPATIAL
SUZ-R017,SUZ,1,17,800001,SPATIAL_THEN_TEXT
SUZ-R018,SUZ,1,18,800001,TEXT_THEN_SPATIAL
SUZ-R019,SUZ,1,19,800001,TEXT_THEN_SPATIAL
SUZ-R020,SUZ,1,20,800001,SPATIAL_THEN_TEXT
LON-R001,LON,2,1,800002,SPATIAL_THEN_TEXT
LON-R002,LON,2,2,800002,TEXT_THEN_SPATIAL
LON-R003,LON,2,3,800002,TEXT_THEN_SPATIAL
LON-R004,LON,2,4,800002,SPATIAL_THEN_TEXT
LON-R005,LON,2,5,800002,TEXT_THEN_SPATIAL
LON-R006,LON,2,6,800002,SPATIAL_THEN_TEXT
LON-R007,LON,2,7,800002,SPATIAL_THEN_TEXT
LON-R008,LON,2,8,800002,SPATIAL_THEN_TEXT
LON-R009,LON,2,9,800002,SPATIAL_THEN_TEXT
LON-R010,LON,2,10,800002,TEXT_THEN_SPATIAL
LON-R011,LON,2,11,800002,TEXT_THEN_SPATIAL
LON-R012,LON,2,12,800002,TEXT_THEN_SPATIAL
LON-R013,LON,2,13,800002,TEXT_THEN_SPATIAL
LON-R014,LON,2,14,800002,SPATIAL_THEN_TEXT
LON-R015,LON,2,15,800002,SPATIAL_THEN_TEXT
LON-R016,LON,2,16,800002,SPATIAL_THEN_TEXT
LON-R017,LON,2,17,800002,TEXT_THEN_SPATIAL
LON-R018,LON,2,18,800002,SPATIAL_THEN_TEXT
LON-R019,LON,2,19,800002,TEXT_THEN_SPATIAL
LON-R020,LON,2,20,800002,TEXT_THEN_SPATIAL
CHI-R001,CHI,3,1,800003,TEXT_THEN_SPATIAL
CHI-R002,CHI,3,2,800003,TEXT_THEN_SPATIAL
CHI-R003,CHI,3,3,800003,SPATIAL_THEN_TEXT
CHI-R004,CHI,3,4,800003,TEXT_THEN_SPATIAL
CHI-R005,CHI,3,5,800003,SPATIAL_THEN_TEXT
CHI-R006,CHI,3,6,800003,TEXT_THEN_SPATIAL
CHI-R007,CHI,3,7,800003,SPATIAL_THEN_TEXT
CHI-R008,CHI,3,8,800003,SPATIAL_THEN_TEXT
CHI-R009,CHI,3,9,800003,TEXT_THEN_SPATIAL
CHI-R010,CHI,3,10,800003,TEXT_THEN_SPATIAL
CHI-R011,CHI,3,11,800003,SPATIAL_THEN_TEXT
CHI-R012,CHI,3,12,800003,SPATIAL_THEN_TEXT
CHI-R013,CHI,3,13,800003,TEXT_THEN_SPATIAL
CHI-R014,CHI,3,14,800003,SPATIAL_THEN_TEXT
CHI-R015,CHI,3,15,800003,TEXT_THEN_SPATIAL
CHI-R016,CHI,3,16,800003,SPATIAL_THEN_TEXT
CHI-R017,CHI,3,17,800003,SPATIAL_THEN_TEXT
CHI-R018,CHI,3,18,800003,SPATIAL_THEN_TEXT
CHI-R019,CHI,3,19,800003,TEXT_THEN_SPATIAL
CHI-R020,CHI,3,20,800003,TEXT_THEN_SPATIAL
