source_id,site,jurisdiction,title,issuing_body,source_type,database_name,instrument_class,effective_date_or_version,section_or_page,url,access_date,claim_supported,evidence_type,verification_status,notes
INT-PREREG,All,Study protocol,POLIS preregistration parameters and scenario rules,POLIS research team,frozen_internal_protocol,Local preregistration package,study_defined_rule,Draft as of 2026-08-04,parameters.yaml; POLIS_preregistration.md Sections 4-7,,2026-08-04,"Study-defined need composition, outcome thresholds, shared hard constraints, and tolerance rules",study_defined,local_file_verified,"These thresholds are experimental decision rules, not legal standards or participant responses."
OSM-SNAPSHOT,All,OpenStreetMap,Frozen OSM way snapshot for the three study boundaries,OpenStreetMap contributors,public_geospatial_snapshot,OpenStreetMap,site_context,Frozen local snapshot,"Ways 741252447, 49601059, and 624189839",https://www.openstreetmap.org/copyright,2026-08-04,Approximate site geometry and named features used to define the frozen study boundaries,site_boundary,local_snapshot_verified,ODbL data; boundaries are analytical study extents and do not imply ownership or endorsement.
SUZ-GREEN-ORD,Suzhou,"Suzhou, Jiangsu, China",Suzhou Urban Greening Regulation (苏州市城市绿化条例),Suzhou Municipal People's Congress Standing Committee; approved by Jiangsu Provincial People's Congress Standing Committee,official_local_regulation,Suzhou Municipal Government Gazette / local regulation database,binding_regulation,2022 revision; effective 2023-03-12,"Articles 2, 5, 13, 15-30, 41-42",https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,2026-08-04,"Scope, planning controls, project greening duties, maintenance, tree/green-space approvals, and statutory definitions",regulatory,official_text_verified,"Chinese official text controls. Parcel-level applicability depends on statutory land-use, green-line, and planning-area classification."
CN-GB55019,Suzhou,China,GB 55019-2021 General Code for Accessibility of Buildings and Municipal Engineering,Ministry of Housing and Urban-Rural Development of the PRC,official_mandatory_standard_notice,National Standards Full-text Disclosure platform and MOHURD standards publication library,binding_standard,Published 2021; implementation date must be checked in the controlling notice,Official publication/index notice only; exact clauses not extracted,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2021/art_17339_762461.html,2026-08-04,A mandatory national accessibility code exists and must be checked for the final scheme,regulatory,official_index_verified_clause_text_not_extracted,No numerical value from GB 55019-2021 is asserted here because the exact clause text was not available for direct verification.
LON-MITRE-APP,London,"Old Oak and Park Royal Development Corporation, London, UK",104-108 Scrubs Lane planning application (Mitre Yard),Greater London Authority / OPDC,official_planning_record,OPDC planning record,official_site_record,Application 17/0055/FUMOPDC; current status must be rechecked,Application 17/0055/FUMOPDC,https://www.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc/opdc-consultations/104-108-scrubs-lane-planning-application,2026-08-04,"Site identity, planning context, and application reference for Mitre Yard",site_context,official_record_verified,Use the frozen analytical boundary; this record does not establish current land control or development rights.
LON-MITRE-REPORT,London,"Old Oak and Park Royal Development Corporation, London, UK",OPDC Planning Committee Report: Mitre Yard,Greater London Authority / OPDC,official_planning_report,OPDC committee records,official_site_record,Planning application 17/0055/FUMOPDC,Planning committee report,https://www.london.gov.uk/moderngovopdc/documents/s57190/OPDC%20PLANNING%20COMMITTEE%20REPORT%20-%20Mitre%20Yard.pdf,2026-08-04,Brownfield regeneration context and site-specific planning history,site_context,official_url_verified_access_limited,"Check the current permission, conditions, land ownership, and superseding applications before implementation."
LON-UGF,London,Greater London,"The London Plan 2021, Policy G5 Urban greening",Mayor of London / Greater London Authority,official_planning_policy,GLA London Plan policy database,planning_policy,London Plan 2021; accessed 2026-08-04,Policy G5 and supporting paragraph 8.5.5,https://www.london.gov.uk/programmes-strategies/planning/london-plan/the-london-plan-2021-online/chapter-8-green-infrastructure,2026-08-04,"Interim target UGF 0.40 for predominantly residential development and 0.30 for predominantly commercial development, excluding B2 and B8 uses",planning_policy,official_policy_url_verified_direct_text_access_challenge,"Planning policy target, not a building-regulation minimum. The GLA page was protected by a browser challenge during the final check, so applicability remains for planning-authority confirmation."
UK-BNG,London,England,"Town and Country Planning Act 1990 Schedule 7A, inserted by Environment Act 2021 Schedule 14; DEFRA BNG guidance","UK Parliament; Department for Environment, Food & Rural Affairs",official_statutory_guidance_with_primary_legislation_link,legislation.gov.uk and GOV.UK,binding_regulation,GOV.UK guidance last updated 2026-07-14,Schedule 7A; GOV.UK sections on mandatory BNG and habitat maintenance,https://www.gov.uk/guidance/understanding-biodiversity-net-gain,2026-08-04,"Unless exempt, development must deliver at least 10% BNG using the statutory metric; significant on-site and off-site gains must be maintained for at least 30 years",regulatory,official_guidance_text_verified_primary_legislation_linked,Applicability and exemptions must be confirmed against the law in force on the planning-application date.
UK-INCLUSIVE,London,United Kingdom,Inclusive Mobility: A Guide to Best Practice on Access to Pedestrian and Transport Infrastructure,UK Department for Transport,official_guidance,GOV.UK official publications,official_guidance,Published December 2021,"Sections 4.2, 4.3, and 4.5",https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,2026-08-04,"Recommended footway width, gradient, crossfall, and seating interval",design_guidance,official_pdf_verified,Guidance is non-binding unless incorporated into an approval condition or another controlling instrument.
CHI-ENGLEWOOD,Chicago,"Chicago, Illinois, USA",Englewood Agro-Eco District Land Use Plan / Englewood Nature Trail Framework Plan,City of Chicago,official_city_plan,City of Chicago planning documents,planning_policy,Final plan dated 2024,"PDF pages 26, 36, and 46",https://www.chicago.gov/content/dam/city/sites/englewood-trail/pdfs/240611_Englewood%20Trail_Land%20Use%20Plan%20Final_Rdcd.pdf,2026-08-04,The 59th Line is planned as a linear park and trail spine linked with urban agriculture and ecological uses,site_context,official_pdf_verified,"Planning vision is policy/context, not a parcel-level permit or zoning entitlement."
