scenario_id,site,variant,budget_multiplier,base_capital_budget,currency,price_base_date,scenario_capital_cap,budget_source_id,status,base_resource_units,scenario_resource_cap_units,resource_catalog
SUZ-GE-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-GE-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
SUZ-AR-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-AR-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
SUZ-CU-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-CU-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
SUZ-RR-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-RR-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
SUZ-EA-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-EA-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
SUZ-IP-B,Suzhou,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
SUZ-IP-S,Suzhou,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-GE-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
LON-GE-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-AR-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
