need_id,site,site_index,scenario_applicability,decision_type,need_class,role,beneficiary,priority,criticality,source_id,evidence_type,evidence_summary,spatial_scope,requested_change,parametric_implication,satisfaction_predicate_id,conflict_links,stress_only,interpretation_note
SUZ-N01,Suzhou,1,SUZ-ALL,ALL,access_mobility,analytical_planner_proxy,All users requiring step-free access,critical,critical,INT-PREREG,study_defined_analytical_need,The study protocol requires a connected accessible route for every scenario.,Xutai Road neighbourhood grass parcel (OSM way 741252447); all frozen entrances and required destinations,Create one continuous step-free primary route linking every frozen entrance to every required destination.,accessible_route_graph_connected=true; disconnected_required_destinations=0,SUZ-N01-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-N02,Suzhou,1,SUZ-ALL,ALL,access_mobility,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,The shared study controls deliberately set an accessibility design envelope that may be stricter than local minima.,Xutai Road neighbourhood grass parcel (OSM way 741252447); full primary accessible route,"Maintain at least 1.50 m clear width, running slope at most 5%, and cross slope at most 2% along the primary route.",route_clear_width_m>=1.50; running_slope<=0.05; cross_slope<=0.02,SUZ-N02-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-N03,Suzhou,1,SUZ-ALL,ALL,shade_comfort,analytical_planner_proxy,"People walking, waiting, or sitting during summer daytime",high,noncritical,INT-PREREG,study_defined_analytical_need,The protocol defines a shade-based environmental-comfort outcome; it is not measured thermal comfort.,Xutai Road neighbourhood grass parcel (OSM way 741252447); priority route segments and seating nodes,Provide effective shade across priority walking and sitting locations during the frozen summer evaluation times.,weighted_effective_shade_fraction>=0.60,SUZ-N03-P,SUZ-N05,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-N04,Suzhou,1,SUZ-ALL,ALL,shade_comfort,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",high,noncritical,INT-PREREG,study_defined_analytical_need,A 50 m rest interval is adopted as a common analytical comfort rule for cross-site comparison.,Xutai Road neighbourhood grass parcel (OSM way 741252447); primary walking route,Place accessible rest opportunities at intervals no greater than 50 m without narrowing the accessible route.,max_rest_interval_m<=50; route_obstruction_count=0,SUZ-N04-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-N05,Suzhou,1,SUZ-ALL,ALL,ecology,analytical_planner_proxy,Local habitat and users benefiting from ecological function,high,noncritical,SUZ-GREEN-ORD,official_source_derived_analytical_need,"Suzhou's greening regulation prioritises ecology, open sharing, public convenience, service function, and maintenance.",Xutai Road neighbourhood grass parcel (OSM way 741252447); all proposed planted areas,"Retain a predominantly green, ecologically functional parcel using locally suitable planting.",native_or_locally_adapted_planting_fraction>=0.70; green_fraction>=0.35,SUZ-N05-P,SUZ-N03,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
SUZ-N06,Suzhou,1,SUZ-ALL,ALL,activity_use,analytical_planner_proxy,Neighbourhood and site users,medium,noncritical,SUZ-GREEN-ORD,official_source_derived_analytical_need,"Suzhou's greening regulation prioritises ecology, open sharing, public convenience, service function, and maintenance.",Xutai Road neighbourhood grass parcel (OSM way 741252447); one accessible activity zone,Provide a modest neighbourhood shared-use lawn or quiet activity area without displacing the primary green function.,accessible_usable_activity_area_m2>=100,SUZ-N06-P,SUZ-N07,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
SUZ-N07,Suzhou,1,SUZ-ALL,ALL,maintenance_budget,analytical_planner_proxy,Implementing and maintenance authority,high,noncritical,INT-PREREG,study_defined_analytical_need,All workflows receive the same normalised budget; feasibility requires the budget ratio not to exceed 1.00.,Xutai Road neighbourhood grass parcel (OSM way 741252447); complete bill of quantities and maintenance schedule,Keep capital cost within the scenario budget and provide a maintenance responsibility and replacement schedule.,budget_ratio<=1.00; maintenance_plan_complete=true,SUZ-N07-P,SUZ-N06,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-N08,Suzhou,1,SUZ-ALL,ALL,vulnerable_group_priority,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",high,noncritical,INT-PREREG,study_defined_analytical_need,The Equity Guardian requires minimum group need retention of 0.75 and the shared study geometry rule requires a 1.525 m circular turning diameter.,Xutai Road neighbourhood grass parcel (OSM way 741252447); each primary destination and vulnerable-use zone,Provide circular wheelchair turning space at each primary destination and retain at least 75% of the encoded needs for the vulnerable beneficiary group.,min_turning_diameter_m>=1.525; minimum_group_need_retention>=0.75,SUZ-N08-P,,no,"Not elicited from residents; the 1.525 m value is a shared study rule adopted from the strictest verified value and is not asserted as a Suzhou legal minimum."
LON-N01,London,2,LON-ALL,ALL,access_mobility,analytical_planner_proxy,All users requiring step-free access,critical,critical,INT-PREREG,study_defined_analytical_need,The study protocol requires a connected accessible route for every scenario.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); all frozen entrances and required destinations",Create one continuous step-free primary route linking every frozen entrance to every required destination.,accessible_route_graph_connected=true; disconnected_required_destinations=0,LON-N01-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-N02,London,2,LON-ALL,ALL,access_mobility,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,The shared study controls deliberately set an accessibility design envelope that may be stricter than local minima.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); full primary accessible route","Maintain at least 1.50 m clear width, running slope at most 5%, and cross slope at most 2% along the primary route.",route_clear_width_m>=1.50; running_slope<=0.05; cross_slope<=0.02,LON-N02-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-N03,London,2,LON-ALL,ALL,shade_comfort,analytical_planner_proxy,"People walking, waiting, or sitting during summer daytime",high,noncritical,INT-PREREG,study_defined_analytical_need,The protocol defines a shade-based environmental-comfort outcome; it is not measured thermal comfort.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); priority route segments and seating nodes",Provide effective shade across priority walking and sitting locations during the frozen summer evaluation times.,weighted_effective_shade_fraction>=0.60,LON-N03-P,LON-N05,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-N04,London,2,LON-ALL,ALL,shade_comfort,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",high,noncritical,UK-INCLUSIVE,official_source_derived_analytical_need,Inclusive Mobility recommends seats at intervals no greater than 50 m in commonly used pedestrian areas.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); primary walking route",Place accessible rest opportunities at intervals no greater than 50 m without narrowing the accessible route.,max_rest_interval_m<=50; route_obstruction_count=0,LON-N04-P,,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
