assignment_id,scenario_id,workflow,planned_operator_slot,real_operator_id,assignment_status,pi_verified,notes
ASN-SUZ-GE-B-CONVENTIONAL,SUZ-GE-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-GE-B-DIGITAL,SUZ-GE-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-GE-B-POLIS,SUZ-GE-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-GE-S-CONVENTIONAL,SUZ-GE-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-GE-S-DIGITAL,SUZ-GE-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-GE-S-POLIS,SUZ-GE-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-B-CONVENTIONAL,SUZ-AR-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-B-DIGITAL,SUZ-AR-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-B-POLIS,SUZ-AR-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-S-CONVENTIONAL,SUZ-AR-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-S-DIGITAL,SUZ-AR-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-AR-S-POLIS,SUZ-AR-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-B-CONVENTIONAL,SUZ-CU-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-B-DIGITAL,SUZ-CU-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-B-POLIS,SUZ-CU-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-S-CONVENTIONAL,SUZ-CU-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-S-DIGITAL,SUZ-CU-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-CU-S-POLIS,SUZ-CU-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-B-CONVENTIONAL,SUZ-RR-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-B-DIGITAL,SUZ-RR-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-B-POLIS,SUZ-RR-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-S-CONVENTIONAL,SUZ-RR-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-S-DIGITAL,SUZ-RR-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-RR-S-POLIS,SUZ-RR-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-B-CONVENTIONAL,SUZ-EA-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-B-DIGITAL,SUZ-EA-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-B-POLIS,SUZ-EA-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-S-CONVENTIONAL,SUZ-EA-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-S-DIGITAL,SUZ-EA-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-EA-S-POLIS,SUZ-EA-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-B-CONVENTIONAL,SUZ-IP-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-B-DIGITAL,SUZ-IP-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-B-POLIS,SUZ-IP-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-S-CONVENTIONAL,SUZ-IP-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-S-DIGITAL,SUZ-IP-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-SUZ-IP-S-POLIS,SUZ-IP-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-B-CONVENTIONAL,LON-GE-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-B-DIGITAL,LON-GE-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-B-POLIS,LON-GE-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-S-CONVENTIONAL,LON-GE-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-S-DIGITAL,LON-GE-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-GE-S-POLIS,LON-GE-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-B-CONVENTIONAL,LON-AR-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-B-DIGITAL,LON-AR-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-B-POLIS,LON-AR-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-S-CONVENTIONAL,LON-AR-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-S-DIGITAL,LON-AR-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-AR-S-POLIS,LON-AR-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-B-CONVENTIONAL,LON-CU-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-B-DIGITAL,LON-CU-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-B-POLIS,LON-CU-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-S-CONVENTIONAL,LON-CU-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-S-DIGITAL,LON-CU-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-CU-S-POLIS,LON-CU-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-B-CONVENTIONAL,LON-RR-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-B-DIGITAL,LON-RR-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-B-POLIS,LON-RR-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-S-CONVENTIONAL,LON-RR-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-S-DIGITAL,LON-RR-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-RR-S-POLIS,LON-RR-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-B-CONVENTIONAL,LON-EA-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-B-DIGITAL,LON-EA-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-B-POLIS,LON-EA-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-S-CONVENTIONAL,LON-EA-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-S-DIGITAL,LON-EA-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-EA-S-POLIS,LON-EA-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
