constraint_id,site,parameter,applicability_condition,source_id,real_project_applicability_status,observed_project_value,observed_unit,evidence_file,verification_status,rule,experiment1_scoring_disposition
SUZ-C01,Suzhou,city_green_space_ratio_new_urban_area,Only if the competent planning authority classifies the relevant planning area as a new urban area; this is not automatically a parcel-level Xutai Road ratio.,SUZ-GREEN-ORD,planning_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C02,Suzhou,city_green_space_ratio_old_city_renewal_area,Only if the competent planning authority classifies the relevant planning area as an old-city renewal area.,SUZ-GREEN-ORD,planning_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C03,Suzhou,existing_city_green_area_change,Only if the parcel is legally counted as existing city green space and the proposal would change that area.,SUZ-GREEN-ORD,land_and_green_line_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C04,Suzhou,square_land_landscaped_area_fraction,Only if the land is legally classified as square land (广场用地).,SUZ-GREEN-ORD,land_use_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C05,Suzhou,nonresidential_flat_roof_height_for_encouraged_roof_greening,Only when a non-residential flat-roof building is proposed.,SUZ-GREEN-ORD,not_triggered_unless_building_proposed,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C06,Suzhou,green_space_open_convenient_and_service_function,Relevant to an urban green-space improvement proposal.,SUZ-GREEN-ORD,project_type_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C07,Suzhou,supporting_greening_cost_in_project_budget,For an urban construction project with supporting greening works.,SUZ-GREEN-ORD,project_scope_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C08,Suzhou,maintenance_management_system,For the legally responsible urban green-space maintenance party.,SUZ-GREEN-ORD,responsible_party_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C09,Suzhou,tree_removal_relocation_or_green_space_occupation_approval,If the proposal removes or relocates an urban tree or occupies legally designated city green space.,SUZ-GREEN-ORD,tree_inventory_and_land_status_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
SUZ-C10,Suzhou,national_accessibility_code_review,For buildings and municipal works within the standard's scope.,CN-GB55019,clause_text_and_project_scope_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C01,London,urban_greening_factor_predominantly_residential,For a major development treated by the planning authority as predominantly residential where Policy G5 applies.,LON-UGF,development_class_and_current_policy_confirmation_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C02,London,urban_greening_factor_predominantly_commercial,"For a major development treated by the planning authority as predominantly commercial, excluding B2/B8 uses, where Policy G5 applies.",LON-UGF,development_class_and_current_policy_confirmation_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C03,London,biodiversity_net_gain,For development in England unless a statutory exemption applies; check the application-date regime and the statutory metric.,UK-BNG,exemption_and_application_date_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C04,London,BNG_habitat_maintenance_term,For significant on-site gains and off-site gains used to meet mandatory BNG.,UK-BNG,gain_type_and_legal_mechanism_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C05,London,footway_normal_minimum_width,Where practicable under normal pedestrian-route circumstances.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C06,London,footway_constrained_minimum_width,Only where 2.0 m is not feasible because of physical constraints.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C07,London,restricted_width_segment_length,Where an unavoidable obstacle reduces clear width to 1.0 m.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C08,London,pedestrian_route_running_gradient,Where a level route is not feasible; steeper routes require separate ramp treatment.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C09,London,footway_crossfall,Where crossfall is required for drainage.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C10,London,seat_interval,In commonly used pedestrian areas and transport interchanges/stations.,UK-INCLUSIVE,guidance_context_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
LON-C11,London,current_planning_permission_and_conditions_check,Before treating any analytical proposal as implementable at Mitre Yard.,LON-MITRE-APP,current_permission_land_control_and_superseding_applications_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C01,Chicago,accessible_walking_surface_clear_width,Where the 2010 ADA Standards govern the facility and accessible walking surface.,US-ADA2010,facility_and_alteration_scope_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C02,Chicago,accessible_walking_surface_running_slope,For an ADA-governed walking surface; steeper surfaces are ramps and must meet Section 405.,US-ADA2010,facility_and_route_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C03,Chicago,accessible_walking_surface_cross_slope,For an ADA-governed accessible walking surface.,US-ADA2010,facility_and_route_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C04,Chicago,circular_turning_space_diameter,Where a circular space is used to satisfy an applicable turning-space requirement.,US-ADA2010,facility_and_turning_space_type_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C05,Chicago,accessible_route_passing_space_interval,Where an applicable accessible route has clear width below 1.525 m.,US-ADA2010,facility_and_route_width_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C06,Chicago,ramp_running_slope,Only where the route segment is classified as a ramp and ADA applies.,US-ADA2010,facility_and_route_classification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C07,Chicago,landscape_code_applicability_check,Before applying any Chapter 17-11 numeric landscape rule.,CHI-ZONING-CODE,project_type_vehicular_use_area_and_exemptions_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C08,Chicago,parkway_tree_spacing,When Section 17-11-0100 applies and no listed location exemption makes parkway planting unsuitable or unsafe.,CHI-ZONING-CODE,project_trigger_and_exemptions_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C09,Chicago,interior_landscape_tree_density,For required interior landscaping of a qualifying vehicular use area under Section 17-11-0203.,CHI-ZONING-CODE,vehicular_use_area_size_and_required_landscape_area_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C10,Chicago,minimum_required_tree_caliper_outside_central_area,For required Chapter 17-11 trees outside the defined Central Area.,CHI-ZONING-CODE,project_trigger_and_central_area_status_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C11,Chicago,land_disturbance_trigger,Calculate the project as a whole and apply the public-right-of-way and residential-development exclusions stated in the definition.,CHI-STORMWATER-CODE,project_area_discharge_and_exclusions_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C12,Chicago,new_at_grade_impervious_surface_trigger,Apply the project-as-a-whole calculation and the stated public-right-of-way and residential-development exclusions.,CHI-STORMWATER-CODE,project_area_discharge_and_exclusions_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C13,Chicago,linear_park_and_trail_function,As planning context for proposals on the selected 59th Line analytical segment.,CHI-ENGLEWOOD,spatial_interface_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
CHI-C14,Chicago,urban_agriculture_connection,Where the analytical segment interfaces with an identified urban-farm parcel or access point.,CHI-ENGLEWOOD,parcel_and_access_point_verification_pending,,,,PROJECT_APPLICABILITY_PENDING_ANALYTICAL_RULE_RETAINED,Do not code pass or not_applicable from a missing trigger value.,NOT_EVALUABLE_EXCLUDED_UNTIL_REGISTERED_TRIGGER_EVIDENCE
