predicate_id,need_id,site,domain,metric,operator,target_value,unit,tolerance,evaluation_window,pass_logic,hard_or_soft,source_id,verification_status,notes
SUZ-N01-P,SUZ-N01,Suzhou,access_mobility,disconnected_required_destinations,<=,0,count,exact,final_valid_design,Pass when every required entrance and destination is in one accessible-route component.,hard,INT-PREREG,study_rule_verified,
SUZ-N02-P,SUZ-N02,Suzhou,access_mobility,min_clear_width_m AND max_running_slope AND max_cross_slope,compound,1.50;0.05;0.02,m;ratio;ratio,exact_hard_constraint,final_valid_design,Pass only when width >=1.50 m AND running slope <=0.05 AND cross slope <=0.02 everywhere on the primary route.,hard,INT-PREREG,study_rule_verified,Jurisdictional minima are evaluated separately; a stricter applicable law supersedes this rule.
SUZ-N03-P,SUZ-N03,Suzhou,shade_comfort,weighted_effective_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,"21 Jun, 21 Jul, 21 Aug at 10:00, 12:00, 14:00, 16:00 local solar time",Pass when the frozen time-weighted shade evaluator returns at least 0.60 for priority locations.,soft,INT-PREREG,frozen_evaluator_required,
SUZ-N04-P,SUZ-N04,Suzhou,shade_comfort,max_rest_interval_m AND route_obstruction_count,compound,50;0,m;count,location_centroid_5m,final_valid_design,Pass when every primary-route segment is within 50 m network distance of a rest node and no rest element obstructs the route.,soft,INT-PREREG,frozen_evaluator_required,
SUZ-N05-P,SUZ-N05,Suzhou,ecology,native_or_locally_adapted_planting_fraction AND green_fraction,compound,0.70;0.35,fraction;fraction,area_or_canopy_relative_0.05,final_valid_design,Pass when at least 70% of planted area uses native or locally adapted species AND total green fraction is at least 0.35.,soft,SUZ-GREEN-ORD,frozen_evaluator_required,The 70% planting mix is study-defined; project ecologists must approve species and habitat specifications.
SUZ-N06-P,SUZ-N06,Suzhou,activity_use,accessible_usable_activity_area_m2,>=,100,m2,area_relative_0.05,final_valid_design,"Pass when at least one connected, accessible, unobstructed activity area totals 100 m2 or more.",soft,SUZ-GREEN-ORD,frozen_evaluator_required,"The 100 m2 minimum is an experimental design standard, not a reported community preference."
SUZ-N07-P,SUZ-N07,Suzhou,maintenance_budget,budget_ratio AND maintenance_plan_complete,compound,1.00;true,ratio;boolean,budget_relative_0.02;categorical_exact,final_valid_design,"Pass when budget ratio <=1.00 AND the maintenance plan contains responsible party, frequency, and replacement actions.",hard,INT-PREREG,study_rule_verified,
SUZ-N08-P,SUZ-N08,Suzhou,vulnerable_group_priority,min_turning_diameter_m AND minimum_group_need_retention,compound,1.525;0.75,m;fraction,exact_hard_geometry;continuous_relative_0.02,final_valid_design,Pass when every required destination has a circular turning diameter of at least 1.525 m AND vulnerable-group need retention is at least 0.75.,soft,INT-PREREG,study_rule_verified,Shared research rule; not asserted as a Suzhou legal minimum.
LON-N01-P,LON-N01,London,access_mobility,disconnected_required_destinations,<=,0,count,exact,final_valid_design,Pass when every required entrance and destination is in one accessible-route component.,hard,INT-PREREG,study_rule_verified,
LON-N02-P,LON-N02,London,access_mobility,min_clear_width_m AND max_running_slope AND max_cross_slope,compound,1.50;0.05;0.02,m;ratio;ratio,exact_hard_constraint,final_valid_design,Pass only when width >=1.50 m AND running slope <=0.05 AND cross slope <=0.02 everywhere on the primary route.,hard,INT-PREREG,study_rule_verified,Jurisdictional minima are evaluated separately; a stricter applicable law supersedes this rule.
