scenario_id,site,site_index,decision_type,decision_index,variant,need_count,critical_need_count,conflict_count,budget_multiplier,revision_steps,modifier,exp1_seed,exp2_included,exp2_seed
SUZ-GE-B,Suzhou,1,GE,1,B,8,2,2,1.00,none,standard,110101,yes,210101
SUZ-GE-S,Suzhou,1,GE,1,S,10,3,4,0.80,none,two_conflicts,110102,no,
SUZ-AR-B,Suzhou,1,AR,2,B,8,2,2,1.00,none,standard,110201,yes,210201
SUZ-AR-S,Suzhou,1,AR,2,S,10,3,4,0.80,none,access_edge_blocked,110202,no,
SUZ-CU-B,Suzhou,1,CU,3,B,8,2,2,1.00,none,standard,110301,no,
SUZ-CU-S,Suzhou,1,CU,3,S,10,3,4,0.80,none,land_competition,110302,no,
SUZ-RR-B,Suzhou,1,RR,4,B,8,2,2,1.00,5,one_late_revision,110401,no,
SUZ-RR-S,Suzhou,1,RR,4,S,10,3,4,0.80,5|10,two_late_revisions,110402,no,
SUZ-EA-B,Suzhou,1,EA,5,B,8,2,2,1.00,none,standard,110501,yes,210501
SUZ-EA-S,Suzhou,1,EA,5,S,10,3,4,0.80,none,vulnerable_group_priority,110502,no,
SUZ-IP-B,Suzhou,1,IP,6,B,8,2,2,1.00,none,standard,110601,yes,210601
SUZ-IP-S,Suzhou,1,IP,6,S,10,3,4,0.80,none,combined_constraints,110602,no,
LON-GE-B,London,2,GE,1,B,8,2,2,1.00,none,standard,120101,yes,220101
LON-GE-S,London,2,GE,1,S,10,3,4,0.80,none,two_conflicts,120102,no,
LON-AR-B,London,2,AR,2,B,8,2,2,1.00,none,standard,120201,yes,220201
LON-AR-S,London,2,AR,2,S,10,3,4,0.80,none,access_edge_blocked,120202,no,
LON-CU-B,London,2,CU,3,B,8,2,2,1.00,none,standard,120301,no,
LON-CU-S,London,2,CU,3,S,10,3,4,0.80,none,land_competition,120302,no,
LON-RR-B,London,2,RR,4,B,8,2,2,1.00,5,one_late_revision,120401,no,
LON-RR-S,London,2,RR,4,S,10,3,4,0.80,5|10,two_late_revisions,120402,no,
LON-EA-B,London,2,EA,5,B,8,2,2,1.00,none,standard,120501,yes,220501
LON-EA-S,London,2,EA,5,S,10,3,4,0.80,none,vulnerable_group_priority,120502,no,
LON-IP-B,London,2,IP,6,B,8,2,2,1.00,none,standard,120601,yes,220601
LON-IP-S,London,2,IP,6,S,10,3,4,0.80,none,combined_constraints,120602,no,
CHI-GE-B,Chicago,3,GE,1,B,8,2,2,1.00,none,standard,130101,yes,230101
CHI-GE-S,Chicago,3,GE,1,S,10,3,4,0.80,none,two_conflicts,130102,no,
CHI-AR-B,Chicago,3,AR,2,B,8,2,2,1.00,none,standard,130201,yes,230201
CHI-AR-S,Chicago,3,AR,2,S,10,3,4,0.80,none,access_edge_blocked,130202,no,
CHI-CU-B,Chicago,3,CU,3,B,8,2,2,1.00,none,standard,130301,no,
CHI-CU-S,Chicago,3,CU,3,S,10,3,4,0.80,none,land_competition,130302,no,
CHI-RR-B,Chicago,3,RR,4,B,8,2,2,1.00,5,one_late_revision,130401,no,
CHI-RR-S,Chicago,3,RR,4,S,10,3,4,0.80,5|10,two_late_revisions,130402,no,
CHI-EA-B,Chicago,3,EA,5,B,8,2,2,1.00,none,standard,130501,yes,230501
CHI-EA-S,Chicago,3,EA,5,S,10,3,4,0.80,none,vulnerable_group_priority,130502,no,
CHI-IP-B,Chicago,3,IP,6,B,8,2,2,1.00,none,standard,130601,yes,230601
CHI-IP-S,Chicago,3,IP,6,S,10,3,4,0.80,none,combined_constraints,130602,no,
