yaml_path,value,category,decision,proposed_change,rationale_or_source,reviewed_by,review_date_utc
protocol.primary_analysis_alpha,0.05,protocol,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
protocol.confidence_level,0.95,protocol,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
protocol.numerical_tolerance,1e-09,protocol,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_ethics_approval.approved_participant_min,8,expert_ethics_approval,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_ethics_approval.approved_participant_max,12,expert_ethics_approval,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_ethics_approval.approved_session_minutes_min,30,expert_ethics_approval,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_ethics_approval.approved_session_minutes_max,60,expert_ethics_approval,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
resident_ethics.approved_participant_count,0,resident_ethics,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
resident_ethics.approved_participant_max,0,resident_ethics,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.total_scenarios,36,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp2_scenarios,12,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp2_configurations,6,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp2_total_runs,72,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_target_experts,12,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_approved_expert_min,8,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_approved_expert_max,12,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_scenarios_per_expert,9,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_outputs_per_expert,27,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.exp3_experts_per_output,3,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.minimum_real_operators,3,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
design.active_workflow_assignments,108,design,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case1_deviation_cases_per_site,8,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_target_analysable_per_city,15,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_max_consent_per_city,20,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_target_total_analysable,45,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_max_consent_total,60,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_age_min,18,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_fidelity_scale_min,1,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_fidelity_scale_max,7,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
case_studies.case2_trace_comprehension_items,4,case_studies,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.base_need_count,8,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_need_count,10,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.base_critical_need_count,2,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_critical_need_count,3,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.base_conflict_count,2,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_conflict_count,4,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.base_budget_multiplier,1.0,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_budget_multiplier,0.8,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.requirement_revision_base_steps[0],5,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.requirement_revision_stress_steps[0],5,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.requirement_revision_stress_steps[1],10,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.access_mobility,2,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.shade_comfort,2,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.ecology,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.activity_use,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.maintenance_budget,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.need_composition_base.vulnerable_group_priority,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_additions.conflicting_critical_need,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
scenario_generation.stress_additions.conflicting_high_priority_need,1,scenario_generation,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.green_access.qualifying_network_distance_m,300,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.green_access.analysis_catchment_m,1000,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.green_access.target,0.8,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.access_equity.distance_normalisation_m,1000,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.access_equity.zero_guard,1e-09,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.access_equity.target,0.8,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.time_weights[0],0.2,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.time_weights[1],0.3,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.time_weights[2],0.3,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.time_weights[3],0.2,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.effective_shade_fraction_floor,0.5,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.shade_comfort.target,0.6,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.need_retention.target,0.8,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.need_retention.critical_need_target,1.0,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.need_retention.predicate_tolerances.continuous_relative,0.02,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.need_retention.predicate_tolerances.location_centroid_m,5.0,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.need_retention.predicate_tolerances.polygon_intersection_over_union,0.8,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
outcomes.implementation_feasibility.target,0.95,outcomes,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.A_green_min,0.8,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.E_equity_min,0.8,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.C_comfort_min,0.6,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.P_ret_min,0.8,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.critical_need_retention_min,1.0,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.I_impl_min,0.95,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
quality_target.stable_evaluations_required,2,quality_target,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
