constraint_id,site,jurisdiction,database_name,instrument_title,instrument_class,issuing_authority,source_id,section,effective_date_or_version,official_url,verbatim_rule_summary,parameter,operator,threshold,unit,applicability_condition,source_text_status,study_evaluator_applicability,study_applicability_basis,real_project_applicability_status,real_project_confirmation_required,confirmation_authority,confirmation_evidence_file,hard_or_soft,predicate,verification_status,notes
SUZ-C01,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 13,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,"Article 13 states that in new urban areas, city green space shall exceed 30% of total land area.",city_green_space_ratio_new_urban_area,>,0.3,fraction,Only if the competent planning authority classifies the relevant planning area as a new urban area; this is not automatically a parcel-level Xutai Road ratio.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only if the competent planning authority classifies the relevant planning area as a new urban area; this is not automatically a parcel-level Xutai Road ratio. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",planning_classification_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,city_green_space_ratio > 0.30,official_text_verified_applicability_pending,Do not substitute the study green_fraction threshold for this planning-area ratio.
SUZ-C02,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 13,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,"Article 13 states that in old-city renewal areas, city green space shall exceed 25% of total land area.",city_green_space_ratio_old_city_renewal_area,>,0.25,fraction,Only if the competent planning authority classifies the relevant planning area as an old-city renewal area.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only if the competent planning authority classifies the relevant planning area as an old-city renewal area. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",planning_classification_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,city_green_space_ratio > 0.25,official_text_verified_applicability_pending,"Planning-area control, not an unconditional parcel target."
SUZ-C03,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 13,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,Article 13 states that existing green-space area shall remain stable or increase and shall not decrease.,existing_city_green_area_change,>=,0,m2,Only if the parcel is legally counted as existing city green space and the proposal would change that area.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only if the parcel is legally counted as existing city green space and the proposal would change that area. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",land_and_green_line_classification_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,proposed_legal_green_area_m2 - existing_legal_green_area_m2 >= 0,official_text_verified_applicability_pending,Confirm the statutory green-space and green-line records before evaluation.
SUZ-C04,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 41(3),2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,Article 41 defines square land as public activity land with landscaped occupancy of at least 35%; at least 65% may be counted as park green space.,square_land_landscaped_area_fraction,>=,0.35,fraction,Only if the land is legally classified as square land (广场用地).,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only if the land is legally classified as square land (广场用地). If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",land_use_classification_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,landscaped_area_fraction >= 0.35,official_text_verified_applicability_pending,"This is landscaped land occupancy, not canopy coverage."
SUZ-C05,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 25,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,Article 25 encourages roof greening on non-residential flat-roof buildings no higher than 50 m.,nonresidential_flat_roof_height_for_encouraged_roof_greening,<=,50,m,Only when a non-residential flat-roof building is proposed.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only when a non-residential flat-roof building is proposed. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",not_triggered_unless_building_proposed,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,nonbinding_encouragement_in_regulation,building_height_m <= 50 implies roof_greening_option_reviewed = true,official_text_verified,"The instrument is a regulation, but this provision expressly encourages rather than mandates roof greening."
SUZ-C06,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Articles 5 and 26,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,"Article 5 establishes ecological priority and open sharing; Article 26 calls for greater openness, convenience, service functions, and shared green space in green-space improvement.",green_space_open_convenient_and_service_function,qualitative,,none,Relevant to an urban green-space improvement proposal.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Relevant to an urban green-space improvement proposal. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",project_type_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,qualitative_statutory_policy,public_access_open = true AND convenience_features_present = true AND service_function_present = true,official_text_verified_operationalisation_is_study_defined,"The Boolean predicate is a transparent research operationalisation, not statutory wording."
SUZ-C07,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 22,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,Article 22 requires supporting greening construction funds to be included in the basic construction investment and project budget.,supporting_greening_cost_in_project_budget,=,true,boolean,For an urban construction project with supporting greening works.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For an urban construction project with supporting greening works. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",project_scope_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,greening_cost_line_present_in_project_budget = true,official_text_verified_applicability_pending,Distinct from the study's normalised budget cap.
SUZ-C08,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Article 28,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,"Article 28 requires the maintenance-responsible party to establish a maintenance system and address disaster, pest, replacement, and facility upkeep duties.",maintenance_management_system,=,true,boolean,For the legally responsible urban green-space maintenance party.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For the legally responsible urban green-space maintenance party. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",responsible_party_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,maintenance_plan_includes_responsibility_disaster_pest_replacement_and_facility_upkeep = true,official_text_verified_applicability_pending,The checklist tracks the duties enumerated in the article.
SUZ-C09,Suzhou,Suzhou,Suzhou Municipal Government Gazette / local regulation database,Suzhou Urban Greening Regulation (苏州市城市绿化条例),binding_regulation,Suzhou Municipal People's Congress Standing Committee,SUZ-GREEN-ORD,Articles 29 and 30,2022 revision; effective 2023-03-12,https://www.suzhou.gov.cn/szsrmzf/gbdfxfg/202302/a3bea3a503d44a499879cb5b3ed2511d.shtml,Articles 29 and 30 prohibit unauthorised tree felling/relocation and city green-space occupation; specified actions require approval and restoration or compensation duties.,tree_removal_relocation_or_green_space_occupation_approval,=,true,boolean,If the proposal removes or relocates an urban tree or occupies legally designated city green space.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: If the proposal removes or relocates an urban tree or occupies legally designated city green space. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",tree_inventory_and_land_status_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,required_authority_approval_obtained = true,official_text_verified_applicability_pending,No approval is assumed by this analytical study.
SUZ-C10,Suzhou,China,National Standards Full-text Disclosure platform / MOHURD standards library,GB 55019-2021 General Code for Accessibility of Buildings and Municipal Engineering,binding_standard,Ministry of Housing and Urban-Rural Development of the PRC,CN-GB55019,Official publication/index notice; exact clauses not extracted,Published 2021; controlling implementation date to be confirmed,https://www.mohurd.gov.cn/gongkai/zc/wjk/art/2021/art_17339_762461.html,Only the existence and mandatory status of GB 55019-2021 are recorded here; no clause value is asserted without verified clause text.,national_accessibility_code_review,review,,none,For buildings and municipal works within the standard's scope.,official_index_only_clause_text_not_extracted,reference_only_not_scored,"Official index is retained as a source alert, but no clause is scored until the exact controlling text and scenario trigger are extracted and frozen by amendment.",clause_text_and_project_scope_pending,yes,Suzhou competent planning/greening authority or documented review by a qualified local planning professional,,binding_if_applicable,gb55019_clause_check_completed_and_passed = true,official_index_verified_clause_text_not_extracted,"No numerical threshold is populated. The study's 1.50 m, 5%, and 2% controls remain non-regulatory research parameters."
