source_id,site_id,dataset,provider,url,retrieved_utc,role,evidence_class,license_or_terms,status,limitations
AUX-OSM-SUZ-20260806,SUZ,OpenStreetMap frozen Overpass snapshot,OpenStreetMap contributors,https://overpass-api.de/api/interpreter,2026-08-06,context and mapped features,context_only,ODbL 1.0,FROZEN,absence of a mapped feature is not evidence of absence
AUX-COPDEM-SUZ-20260806,SUZ,Copernicus DEM GLO-30,Copernicus Programme,https://copernicus-dem-30m.copernicus.eu/,2026-08-06,terrain context,context_only,Copernicus DEM licence,FROZEN,not suitable for object height or engineering survey
AUX-ESRI-WORLD-IMAGERY-SUZ-20260806,SUZ,World Imagery tile audit,Esri,https://server.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer,2026-08-06,visual confirmation of candidate vegetation and site context,visual_candidate,service terms and attribution required,LOCAL_AUDIT_ONLY,imagery interpretation is not a cadastral or topographic survey
AUX-OVERTURE-BUILDINGS-SUZ-20260722,SUZ,Overture Maps buildings theme 2026-07-22.0,Overture Maps Foundation,https://docs.overturemaps.org/guides/buildings/,2026-08-06,secondary building footprint candidates,ml_footprint_candidate,ODbL and Overture attribution required,NOT_YET_EXTRACTED,global conflation includes ML-derived footprints; no measured height guarantee
AUX-EA-LIDAR-DSM-DTM-LON-20260806,LON,LIDAR Composite DSM and DTM 1m,Environment Agency,https://environment.data.gov.uk/spatialdata/lidar-composite-digital-surface-model-last-return-dsm-1m/wcs,2026-08-06,building height difference surface,lidar_derived,Open Government Licence v3.0,FROZEN_CLIP,remote-sensing derivative not a field or engineering survey
AUX-EA-VOM-LON-20260806,LON,Vegetation Object Model Elevation 2022 1m,Environment Agency,https://environment.data.gov.uk/spatialdata/vegetation-object-model/wcs,2026-08-06,vegetation height and crown candidates,lidar_derived,Open Government Licence v3.0,FROZEN_CLIP,candidates are not confirmed individual trees or an arboricultural survey
AUX-CHI-BUILDINGS-20260806,CHI,City of Chicago Building Footprints,City of Chicago,https://data.cityofchicago.org/d/syp8-uezg,2026-08-06,official building footprints and stories attributes,official_open_data,Chicago Data Portal terms,FROZEN_CLIP,stories are attributes and not measured building height
AUX-USGS-3DEP-HAG-CHI-20260806,CHI,USGS 3DEP Height Above Ground 2019 2m,US Geological Survey,https://planetarycomputer.microsoft.com/dataset/3dep-lidar-hag,2026-08-06,building height and non-building elevated-object candidates,lidar_derived,US government public domain,FROZEN_CLIP,tree components are candidates and continuous elevated infrastructure is excluded by the registered extraction filter
AUX-EA-LIDAR-DTM-LON-20260807,LON,LIDAR Composite Digital Terrain Model 1m,Environment Agency,https://environment.data.gov.uk/spatialdata/lidar-composite-digital-terrain-model-dtm-1m/wcs,2026-08-07,route longitudinal and cross-terrain slope proxy,lidar_derived,Open Government Licence v3.0,FROZEN_CLIP,terrain gradients are not path-surface or accessibility-survey measurements
AUX-USGS-3DEP-DTM-CHI-20260807,CHI,USGS 3DEP LiDAR Digital Terrain Model 2m,US Geological Survey,https://planetarycomputer.microsoft.com/dataset/3dep-lidar-dtm,2026-08-07,route longitudinal and cross-terrain slope proxy,lidar_derived,US government public domain,FROZEN_CLIP,2m DTM cannot resolve 1-2m sidewalk cross-slope or curb/obstruction detail
AUX-CHI-SIDEWALKS-77CN-6X4C-20260807,CHI,Chicago Sidewalks draft polygon file (2011),City of Chicago,https://data.cityofchicago.org/d/77cn-6x4c,2026-08-07,sidewalk footprint and width proxy,official_open_data,City of Chicago data terms,FROZEN_CLIP,data is current as of December 2011 and is not a current accessibility survey
